Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSMUSG00000095666,,ENSG00000204479,PRAMEF17
ENSMUSG00000095666,,ENSG00000274764,PRAMEF27
ENSMUSG00000095666,,ENSG00000204480,PRAMEF19
ENSMUSG00000095666,,ENSG00000243073,PRAMEF4
ENSMUSG00000095666,,ENSG00000204505,PRAMEF9
ENSMUSG00000095666,,ENSG00000232423,PRAMEF6
ENSMUSG00000095666,,ENSG00000204501,PRAMEF15
ENSMUSG00000095666,,ENSG00000204478,PRAMEF20
ENSMUSG00000095666,,ENSG00000204481,PRAMEF14
ENSMUSG00000095666,,ENSG00000204510,PRAMEF7
ENSMUSG00000095666,,ENSG00000120952,PRAMEF2
ENSMUSG00000095666,,ENSG00000229571,PRAMEF25
ENSMUSG00000095666,,ENSG00000279169,PRAMEF13
ENSMUSG00000095666,,ENSG00000279804,PRAMEF18
ENSMUSG00000095666,,ENSG00000116721,PRAMEF1
ENSMUSG00000095666,,ENSG00000239810,PRAMEF11
ENSMUSG00000094303,,ENSG00000187545,PRAMEF10
ENSMUSG00000094303,,ENSG00000182330,PRAMEF8
ENSMUSG00000094303,,ENSG00000280267,PRAMEF26
ENSMUSG00000094303,,ENSG00000270601,PRAMEF5
ENSMUSG00000094303,,ENSG00000116726,PRAMEF12
ENSMUSG00000094303,,ENSG00000237700,PRAMEF33
ENSMUSG00000094303,,ENSG00000204479,PRAMEF17
ENSMUSG00000094303,,ENSG00000274764,PRAMEF27
ENSMUSG00000094303,,ENSG00000204480,PRAMEF19
ENSMUSG00000094303,,ENSG00000243073,PRAMEF4
ENSMUSG00000094303,,ENSG00000204505,PRAMEF9
ENSMUSG00000094303,,ENSG00000232423,PRAMEF6
ENSMUSG00000094303,,ENSG00000204501,PRAMEF15
ENSMUSG00000094303,,ENSG00000204478,PRAMEF20
ENSMUSG00000094303,,ENSG00000204481,PRAMEF14
ENSMUSG00000094303,,ENSG00000204510,PRAMEF7
ENSMUSG00000094303,,ENSG00000120952,PRAMEF2
ENSMUSG00000094303,,ENSG00000229571,PRAMEF25
ENSMUSG00000094303,,ENSG00000279169,PRAMEF13
ENSMUSG00000094303,,ENSG00000279804,PRAMEF18
ENSMUSG00000094303,,ENSG00000116721,PRAMEF1
ENSMUSG00000094303,,ENSG00000239810,PRAMEF11
ENSMUSG00000094915,,ENSG00000067066,SP100
ENSMUSG00000094836,,ENSG00000187545,PRAMEF10
ENSMUSG00000094836,,ENSG00000182330,PRAMEF8
ENSMUSG00000094836,,ENSG00000280267,PRAMEF26
ENSMUSG00000094836,,ENSG00000270601,PRAMEF5
ENSMUSG00000094836,,ENSG00000116726,PRAMEF12
ENSMUSG00000094836,,ENSG00000237700,PRAMEF33
ENSMUSG00000094836,,ENSG00000204479,PRAMEF17
ENSMUSG00000094836,,ENSG00000274764,PRAMEF27
ENSMUSG00000094836,,ENSG00000204480,PRAMEF19
ENSMUSG00000094836,,ENSG00000243073,PRAMEF4
ENSMUSG00000094836,,ENSG00000204505,PRAMEF9
ENSMUSG00000094836,,ENSG00000232423,PRAMEF6
ENSMUSG00000094836,,ENSG00000204501,PRAMEF15
ENSMUSG00000094836,,ENSG00000204478,PRAMEF20
ENSMUSG00000094836,,ENSG00000204481,PRAMEF14
ENSMUSG00000094836,,ENSG00000204510,PRAMEF7
ENSMUSG00000094836,,ENSG00000120952,PRAMEF2
ENSMUSG00000094836,,ENSG00000229571,PRAMEF25
ENSMUSG00000094836,,ENSG00000279169,PRAMEF13
ENSMUSG00000094836,,ENSG00000279804,PRAMEF18
ENSMUSG00000094836,,ENSG00000116721,PRAMEF1
ENSMUSG00000094836,,ENSG00000239810,PRAMEF11
ENSMUSG00000096776,Vmn1r186,,
ENSMUSG00000094722,,ENSG00000187545,PRAMEF10
ENSMUSG00000094722,,ENSG00000182330,PRAMEF8
ENSMUSG00000094722,,ENSG00000280267,PRAMEF26
ENSMUSG00000094722,,ENSG00000270601,PRAMEF5
ENSMUSG00000094722,,ENSG00000116726,PRAMEF12
ENSMUSG00000094722,,ENSG00000237700,PRAMEF33
ENSMUSG00000094722,,ENSG00000204479,PRAMEF17
ENSMUSG00000094722,,ENSG00000274764,PRAMEF27
ENSMUSG00000094722,,ENSG00000204480,PRAMEF19
ENSMUSG00000094722,,ENSG00000243073,PRAMEF4
ENSMUSG00000094722,,ENSG00000204505,PRAMEF9
ENSMUSG00000094722,,ENSG00000232423,PRAMEF6
ENSMUSG00000094722,,ENSG00000204501,PRAMEF15
ENSMUSG00000094722,,ENSG00000204478,PRAMEF20
ENSMUSG00000094722,,ENSG00000204481,PRAMEF14
ENSMUSG00000094722,,ENSG00000204510,PRAMEF7
ENSMUSG00000094722,,ENSG00000120952,PRAMEF2
ENSMUSG00000094722,,ENSG00000229571,PRAMEF25
ENSMUSG00000094722,,ENSG00000279169,PRAMEF13
ENSMUSG00000094722,,ENSG00000279804,PRAMEF18
ENSMUSG00000094722,,ENSG00000116721,PRAMEF1
ENSMUSG00000094722,,ENSG00000239810,PRAMEF11
ENSMUSG00000095250,,ENSG00000135899,SP110
ENSMUSG00000079800,,,
ENSMUSG00002075729,,,
ENSMUSG00000096244,,,
ENSMUSG00000079808,,ENSG00000135899,SP110
ENSMUSG00000095787,,,
ENSMUSG00000095092,,ENSG00000135899,SP110
ENSMUSG00000096236,,ENSG00000187545,PRAMEF10
ENSMUSG00000096236,,ENSG00000182330,PRAMEF8
ENSMUSG00000096236,,ENSG00000280267,PRAMEF26
ENSMUSG00000096236,,ENSG00000270601,PRAMEF5
ENSMUSG00000096236,,ENSG00000116726,PRAMEF12
ENSMUSG00000096236,,ENSG00000237700,PRAMEF33
ENSMUSG00000096236,,ENSG00000204479,PRAMEF17
ENSMUSG00000096236,,ENSG00000274764,PRAMEF27
ENSMUSG00000096236,,ENSG00000204480,PRAMEF19
ENSMUSG00000096236,,ENSG00000243073,PRAMEF4
ENSMUSG00000096236,,ENSG00000204505,PRAMEF9
ENSMUSG00000096236,,ENSG00000232423,PRAMEF6
ENSMUSG00000096236,,ENSG00000204501,PRAMEF15
ENSMUSG00000096236,,ENSG00000204478,PRAMEF20
ENSMUSG00000096236,,ENSG00000204481,PRAMEF14
ENSMUSG00000096236,,ENSG00000204510,PRAMEF7
ENSMUSG00000096236,,ENSG00000120952,PRAMEF2
ENSMUSG00000096236,,ENSG00000229571,PRAMEF25
ENSMUSG00000096236,,ENSG00000279169,PRAMEF13
ENSMUSG00000096236,,ENSG00000279804,PRAMEF18
ENSMUSG00000096236,,ENSG00000116721,PRAMEF1
ENSMUSG00000096236,,ENSG00000239810,PRAMEF11
ENSMUSG00000096680,,ENSG00000187545,PRAMEF10
ENSMUSG00000096680,,ENSG00000182330,PRAMEF8
ENSMUSG00000096680,,ENSG00000280267,PRAMEF26
ENSMUSG00000096680,,ENSG00000270601,PRAMEF5
ENSMUSG00000096680,,ENSG00000116726,PRAMEF12
ENSMUSG00000096680,,ENSG00000237700,PRAMEF33
ENSMUSG00000096680,,ENSG00000204479,PRAMEF17
ENSMUSG00000096680,,ENSG00000274764,PRAMEF27
ENSMUSG00000096680,,ENSG00000204480,PRAMEF19
ENSMUSG00000096680,,ENSG00000243073,PRAMEF4
ENSMUSG00000096680,,ENSG00000204505,PRAMEF9
ENSMUSG00000096680,,ENSG00000232423,PRAMEF6
ENSMUSG00000096680,,ENSG00000204501,PRAMEF15
ENSMUSG00000096680,,ENSG00000204478,PRAMEF20
ENSMUSG00000096680,,ENSG00000204481,PRAMEF14
ENSMUSG00000096680,,ENSG00000204510,PRAMEF7
ENSMUSG00000096680,,ENSG00000120952,PRAMEF2
ENSMUSG00000096680,,ENSG00000229571,PRAMEF25
ENSMUSG00000096680,,ENSG00000279169,PRAMEF13
ENSMUSG00000096680,,ENSG00000279804,PRAMEF18
ENSMUSG00000096680,,ENSG00000116721,PRAMEF1
ENSMUSG00000096680,,ENSG00000239810,PRAMEF11
ENSMUSG00000096100,,,
ENSMUSG00000094383,,ENSG00000187545,PRAMEF10
ENSMUSG00000094383,,ENSG00000182330,PRAMEF8
ENSMUSG00000094383,,ENSG00000280267,PRAMEF26
ENSMUSG00000094383,,ENSG00000270601,PRAMEF5
ENSMUSG00000094383,,ENSG00000116726,PRAMEF12
ENSMUSG00000094383,,ENSG00000237700,PRAMEF33
ENSMUSG00000094383,,ENSG00000204479,PRAMEF17
ENSMUSG00000094383,,ENSG00000274764,PRAMEF27
ENSMUSG00000094383,,ENSG00000204480,PRAMEF19
ENSMUSG00000094383,,ENSG00000243073,PRAMEF4
ENSMUSG00000094383,,ENSG00000204505,PRAMEF9
ENSMUSG00000094383,,ENSG00000232423,PRAMEF6
ENSMUSG00000094383,,ENSG00000204501,PRAMEF15
ENSMUSG00000094383,,ENSG00000204478,PRAMEF20
ENSMUSG00000094383,,ENSG00000204481,PRAMEF14
ENSMUSG00000094383,,ENSG00000204510,PRAMEF7
ENSMUSG00000094383,,ENSG00000120952,PRAMEF2
ENSMUSG00000094383,,ENSG00000229571,PRAMEF25
ENSMUSG00000094383,,ENSG00000279169,PRAMEF13
ENSMUSG00000094383,,ENSG00000279804,PRAMEF18
ENSMUSG00000094383,,ENSG00000116721,PRAMEF1
ENSMUSG00000094383,,ENSG00000239810,PRAMEF11
ENSMUSG00000079192,,,
ENSMUSG00000095728,,ENSG00000187545,PRAMEF10
ENSMUSG00000095728,,ENSG00000182330,PRAMEF8
ENSMUSG00000095728,,ENSG00000280267,PRAMEF26
ENSMUSG00000095728,,ENSG00000270601,PRAMEF5
ENSMUSG00000095728,,ENSG00000116726,PRAMEF12
ENSMUSG00000095728,,ENSG00000237700,PRAMEF33
ENSMUSG00000095728,,ENSG00000204479,PRAMEF17
ENSMUSG00000095728,,ENSG00000274764,PRAMEF27
ENSMUSG00000095728,,ENSG00000204480,PRAMEF19
ENSMUSG00000095728,,ENSG00000243073,PRAMEF4
ENSMUSG00000095728,,ENSG00000204505,PRAMEF9
ENSMUSG00000095728,,ENSG00000232423,PRAMEF6
ENSMUSG00000095728,,ENSG00000204501,PRAMEF15
ENSMUSG00000095728,,ENSG00000204478,PRAMEF20
ENSMUSG00000095728,,ENSG00000204481,PRAMEF14
ENSMUSG00000095728,,ENSG00000204510,PRAMEF7
ENSMUSG00000095728,,ENSG00000120952,PRAMEF2
ENSMUSG00000095728,,ENSG00000229571,PRAMEF25
ENSMUSG00000095728,,ENSG00000279169,PRAMEF13
ENSMUSG00000095728,,ENSG00000279804,PRAMEF18
ENSMUSG00000095728,,ENSG00000116721,PRAMEF1
ENSMUSG00000095728,,ENSG00000239810,PRAMEF11
ENSMUSG00000096756,,ENSG00000187545,PRAMEF10
ENSMUSG00000096756,,ENSG00000182330,PRAMEF8
ENSMUSG00000096756,,ENSG00000280267,PRAMEF26
ENSMUSG00000096756,,ENSG00000270601,PRAMEF5
ENSMUSG00000096756,,ENSG00000116726,PRAMEF12
ENSMUSG00000096756,,ENSG00000237700,PRAMEF33
ENSMUSG00000096756,,ENSG00000204479,PRAMEF17
ENSMUSG00000096756,,ENSG00000274764,PRAMEF27
ENSMUSG00000096756,,ENSG00000204480,PRAMEF19
ENSMUSG00000096756,,ENSG00000243073,PRAMEF4
ENSMUSG00000096756,,ENSG00000204505,PRAMEF9
ENSMUSG00000096756,,ENSG00000232423,PRAMEF6
ENSMUSG00000096756,,ENSG00000204501,PRAMEF15
ENSMUSG00000096756,,ENSG00000204478,PRAMEF20
ENSMUSG00000096756,,ENSG00000204481,PRAMEF14
ENSMUSG00000096756,,ENSG00000204510,PRAMEF7
ENSMUSG00000096756,,ENSG00000120952,PRAMEF2
ENSMUSG00000096756,,ENSG00000229571,PRAMEF25
ENSMUSG00000096756,,ENSG00000279169,PRAMEF13
ENSMUSG00000096756,,ENSG00000279804,PRAMEF18
ENSMUSG00000096756,,ENSG00000116721,PRAMEF1
ENSMUSG00000096756,,ENSG00000239810,PRAMEF11
ENSMUSG00000095505,,ENSG00000187545,PRAMEF10
ENSMUSG00000095505,,ENSG00000182330,PRAMEF8
ENSMUSG00000095505,,ENSG00000280267,PRAMEF26
ENSMUSG00000095505,,ENSG00000270601,PRAMEF5
ENSMUSG00000095505,,ENSG00000116726,PRAMEF12
ENSMUSG00000095505,,ENSG00000237700,PRAMEF33
ENSMUSG00000095505,,ENSG00000204479,PRAMEF17
ENSMUSG00000095505,,ENSG00000274764,PRAMEF27
ENSMUSG00000095505,,ENSG00000204480,PRAMEF19
ENSMUSG00000095505,,ENSG00000243073,PRAMEF4
ENSMUSG00000095505,,ENSG00000204505,PRAMEF9
ENSMUSG00000095505,,ENSG00000232423,PRAMEF6
ENSMUSG00000095505,,ENSG00000204501,PRAMEF15
ENSMUSG00000095505,,ENSG00000204478,PRAMEF20
ENSMUSG00000095505,,ENSG00000204481,PRAMEF14
ENSMUSG00000095505,,ENSG00000204510,PRAMEF7
ENSMUSG00000095505,,ENSG00000120952,PRAMEF2
ENSMUSG00000095505,,ENSG00000229571,PRAMEF25
ENSMUSG00000095505,,ENSG00000279169,PRAMEF13
ENSMUSG00000095505,,ENSG00000279804,PRAMEF18
ENSMUSG00000095505,,ENSG00000116721,PRAMEF1
ENSMUSG00000095505,,ENSG00000239810,PRAMEF11
ENSMUSG00000094054,,,
ENSMUSG00000079794,,,
ENSMUSG00000095672,,ENSG00000135899,SP110
ENSMUSG00000095076,,ENSG00000187545,PRAMEF10
ENSMUSG00000095076,,ENSG00000182330,PRAMEF8
ENSMUSG00000095076,,ENSG00000280267,PRAMEF26
ENSMUSG00000095076,,ENSG00000270601,PRAMEF5
ENSMUSG00000095076,,ENSG00000116726,PRAMEF12
ENSMUSG00000095076,,ENSG00000237700,PRAMEF33
ENSMUSG00000095076,,ENSG00000204479,PRAMEF17
ENSMUSG00000095076,,ENSG00000274764,PRAMEF27
ENSMUSG00000095076,,ENSG00000204480,PRAMEF19
ENSMUSG00000095076,,ENSG00000243073,PRAMEF4
ENSMUSG00000095076,,ENSG00000204505,PRAMEF9
ENSMUSG00000095076,,ENSG00000232423,PRAMEF6
ENSMUSG00000095076,,ENSG00000204501,PRAMEF15
ENSMUSG00000095076,,ENSG00000204478,PRAMEF20
ENSMUSG00000095076,,ENSG00000204481,PRAMEF14
ENSMUSG00000095076,,ENSG00000204510,PRAMEF7
ENSMUSG00000095076,,ENSG00000120952,PRAMEF2
ENSMUSG00000095076,,ENSG00000229571,PRAMEF25
ENSMUSG00000095076,,ENSG00000279169,PRAMEF13
ENSMUSG00000095076,,ENSG00000279804,PRAMEF18
ENSMUSG00000095076,,ENSG00000116721,PRAMEF1
ENSMUSG00000095076,,ENSG00000239810,PRAMEF11
ENSMUSG00000079190,,,
ENSMUSG00000094799,,ENSG00000135899,SP110
ENSMUSG00000094474,,ENSG00000187545,PRAMEF10
ENSMUSG00000094474,,ENSG00000182330,PRAMEF8
ENSMUSG00000094474,,ENSG00000280267,PRAMEF26
ENSMUSG00000094474,,ENSG00000270601,PRAMEF5
ENSMUSG00000094474,,ENSG00000116726,PRAMEF12
ENSMUSG00000094474,,ENSG00000237700,PRAMEF33
ENSMUSG00000094474,,ENSG00000204479,PRAMEF17
ENSMUSG00000094474,,ENSG00000274764,PRAMEF27
ENSMUSG00000094474,,ENSG00000204480,PRAMEF19
ENSMUSG00000094474,,ENSG00000243073,PRAMEF4
ENSMUSG00000094474,,ENSG00000204505,PRAMEF9
ENSMUSG00000094474,,ENSG00000232423,PRAMEF6
ENSMUSG00000094474,,ENSG00000204501,PRAMEF15
ENSMUSG00000094474,,ENSG00000204478,PRAMEF20
ENSMUSG00000094474,,ENSG00000204481,PRAMEF14
ENSMUSG00000094474,,ENSG00000204510,PRAMEF7
ENSMUSG00000094474,,ENSG00000120952,PRAMEF2
ENSMUSG00000094474,,ENSG00000229571,PRAMEF25
ENSMUSG00000094474,,ENSG00000279169,PRAMEF13
ENSMUSG00000094474,,ENSG00000279804,PRAMEF18
ENSMUSG00000094474,,ENSG00000116721,PRAMEF1
ENSMUSG00000094474,,ENSG00000239810,PRAMEF11
ENSMUSG00000094514,,ENSG00000067066,SP100
ENSMUSG00000094791,,ENSG00000187545,PRAMEF10
ENSMUSG00000094791,,ENSG00000182330,PRAMEF8
ENSMUSG00000094791,,ENSG00000280267,PRAMEF26
ENSMUSG00000094791,,ENSG00000270601,PRAMEF5
ENSMUSG00000094791,,ENSG00000116726,PRAMEF12
ENSMUSG00000094791,,ENSG00000237700,PRAMEF33
ENSMUSG00000094791,,ENSG00000204479,PRAMEF17
ENSMUSG00000094791,,ENSG00000274764,PRAMEF27
ENSMUSG00000094791,,ENSG00000204480,PRAMEF19
ENSMUSG00000094791,,ENSG00000243073,PRAMEF4
ENSMUSG00000094791,,ENSG00000204505,PRAMEF9
ENSMUSG00000094791,,ENSG00000232423,PRAMEF6
ENSMUSG00000094791,,ENSG00000204501,PRAMEF15
ENSMUSG00000094791,,ENSG00000204478,PRAMEF20
ENSMUSG00000094791,,ENSG00000204481,PRAMEF14
ENSMUSG00000094791,,ENSG00000204510,PRAMEF7
ENSMUSG00000094791,,ENSG00000120952,PRAMEF2
ENSMUSG00000094791,,ENSG00000229571,PRAMEF25
ENSMUSG00000094791,,ENSG00000279169,PRAMEF13
ENSMUSG00000094791,,ENSG00000279804,PRAMEF18
ENSMUSG00000094791,,ENSG00000116721,PRAMEF1
ENSMUSG00000094791,,ENSG00000239810,PRAMEF11
ENSMUSG00000096550,Gm16367,ENSG00000187545,PRAMEF10
ENSMUSG00000096550,Gm16367,ENSG00000182330,PRAMEF8
ENSMUSG00000096550,Gm16367,ENSG00000280267,PRAMEF26
ENSMUSG00000096550,Gm16367,ENSG00000270601,PRAMEF5
ENSMUSG00000096550,Gm16367,ENSG00000116726,PRAMEF12
ENSMUSG00000096550,Gm16367,ENSG00000237700,PRAMEF33
ENSMUSG00000096550,Gm16367,ENSG00000204479,PRAMEF17
ENSMUSG00000096550,Gm16367,ENSG00000274764,PRAMEF27
ENSMUSG00000096550,Gm16367,ENSG00000204480,PRAMEF19
ENSMUSG00000096550,Gm16367,ENSG00000243073,PRAMEF4
ENSMUSG00000096550,Gm16367,ENSG00000204505,PRAMEF9
ENSMUSG00000096550,Gm16367,ENSG00000232423,PRAMEF6
ENSMUSG00000096550,Gm16367,ENSG00000204501,PRAMEF15
ENSMUSG00000096550,Gm16367,ENSG00000204478,PRAMEF20
ENSMUSG00000096550,Gm16367,ENSG00000204481,PRAMEF14
ENSMUSG00000096550,Gm16367,ENSG00000204510,PRAMEF7
ENSMUSG00000096550,Gm16367,ENSG00000120952,PRAMEF2
ENSMUSG00000096550,Gm16367,ENSG00000229571,PRAMEF25
ENSMUSG00000096550,Gm16367,ENSG00000279169,PRAMEF13
ENSMUSG00000096550,Gm16367,ENSG00000279804,PRAMEF18
ENSMUSG00000096550,Gm16367,ENSG00000116721,PRAMEF1
ENSMUSG00000096550,Gm16367,ENSG00000239810,PRAMEF11
ENSMUSG00000094172,,ENSG00000187545,PRAMEF10
ENSMUSG00000094172,,ENSG00000182330,PRAMEF8
ENSMUSG00000094172,,ENSG00000280267,PRAMEF26
ENSMUSG00000094172,,ENSG00000270601,PRAMEF5
ENSMUSG00000094172,,ENSG00000116726,PRAMEF12
ENSMUSG00000094172,,ENSG00000237700,PRAMEF33
ENSMUSG00000094172,,ENSG00000204479,PRAMEF17
ENSMUSG00000094172,,ENSG00000274764,PRAMEF27
ENSMUSG00000094172,,ENSG00000204480,PRAMEF19
ENSMUSG00000094172,,ENSG00000243073,PRAMEF4
ENSMUSG00000094172,,ENSG00000204505,PRAMEF9
ENSMUSG00000094172,,ENSG00000232423,PRAMEF6
ENSMUSG00000094172,,ENSG00000204501,PRAMEF15
ENSMUSG00000094172,,ENSG00000204478,PRAMEF20
ENSMUSG00000094172,,ENSG00000204481,PRAMEF14
ENSMUSG00000094172,,ENSG00000204510,PRAMEF7
ENSMUSG00000094172,,ENSG00000120952,PRAMEF2
ENSMUSG00000094172,,ENSG00000229571,PRAMEF25
ENSMUSG00000094172,,ENSG00000279169,PRAMEF13
ENSMUSG00000094172,,ENSG00000279804,PRAMEF18
ENSMUSG00000094172,,ENSG00000116721,PRAMEF1
ENSMUSG00000094172,,ENSG00000239810,PRAMEF11
ENSMUSG00000094887,,ENSG00000187545,PRAMEF10
ENSMUSG00000094887,,ENSG00000182330,PRAMEF8
ENSMUSG00000094887,,ENSG00000280267,PRAMEF26
ENSMUSG00000094887,,ENSG00000270601,PRAMEF5
ENSMUSG00000094887,,ENSG00000116726,PRAMEF12
ENSMUSG00000094887,,ENSG00000237700,PRAMEF33
ENSMUSG00000094887,,ENSG00000204479,PRAMEF17
ENSMUSG00000094887,,ENSG00000274764,PRAMEF27
ENSMUSG00000094887,,ENSG00000204480,PRAMEF19
ENSMUSG00000094887,,ENSG00000243073,PRAMEF4
ENSMUSG00000094887,,ENSG00000204505,PRAMEF9
ENSMUSG00000094887,,ENSG00000232423,PRAMEF6
ENSMUSG00000094887,,ENSG00000204501,PRAMEF15
ENSMUSG00000094887,,ENSG00000204478,PRAMEF20
ENSMUSG00000094887,,ENSG00000204481,PRAMEF14
ENSMUSG00000094887,,ENSG00000204510,PRAMEF7
ENSMUSG00000094887,,ENSG00000120952,PRAMEF2
ENSMUSG00000094887,,ENSG00000229571,PRAMEF25
ENSMUSG00000094887,,ENSG00000279169,PRAMEF13
ENSMUSG00000094887,,ENSG00000279804,PRAMEF18
ENSMUSG00000094887,,ENSG00000116721,PRAMEF1
ENSMUSG00000094887,,ENSG00000239810,PRAMEF11
ENSMUSG00000091585,,ENSG00000187545,PRAMEF10
ENSMUSG00000091585,,ENSG00000182330,PRAMEF8
ENSMUSG00000091585,,ENSG00000280267,PRAMEF26
ENSMUSG00000091585,,ENSG00000270601,PRAMEF5
ENSMUSG00000091585,,ENSG00000116726,PRAMEF12
ENSMUSG00000091585,,ENSG00000237700,PRAMEF33
ENSMUSG00000091585,,ENSG00000204479,PRAMEF17
ENSMUSG00000091585,,ENSG00000274764,PRAMEF27
ENSMUSG00000091585,,ENSG00000204480,PRAMEF19
ENSMUSG00000091585,,ENSG00000243073,PRAMEF4
ENSMUSG00000091585,,ENSG00000204505,PRAMEF9
ENSMUSG00000091585,,ENSG00000232423,PRAMEF6
ENSMUSG00000091585,,ENSG00000204501,PRAMEF15
ENSMUSG00000091585,,ENSG00000204478,PRAMEF20
ENSMUSG00000091585,,ENSG00000204481,PRAMEF14
ENSMUSG00000091585,,ENSG00000204510,PRAMEF7
ENSMUSG00000091585,,ENSG00000120952,PRAMEF2
ENSMUSG00000091585,,ENSG00000229571,PRAMEF25
ENSMUSG00000091585,,ENSG00000279169,PRAMEF13
ENSMUSG00000091585,,ENSG00000279804,PRAMEF18
ENSMUSG00000091585,,ENSG00000116721,PRAMEF1
ENSMUSG00000091585,,ENSG00000239810,PRAMEF11
ENSMUSG00000095763,,ENSG00000187545,PRAMEF10
ENSMUSG00000095763,,ENSG00000182330,PRAMEF8
ENSMUSG00000095763,,ENSG00000280267,PRAMEF26
ENSMUSG00000095763,,ENSG00000270601,PRAMEF5
ENSMUSG00000095763,,ENSG00000116726,PRAMEF12
ENSMUSG00000095763,,ENSG00000237700,PRAMEF33
ENSMUSG00000095763,,ENSG00000204479,PRAMEF17
ENSMUSG00000095763,,ENSG00000274764,PRAMEF27
ENSMUSG00000095763,,ENSG00000204480,PRAMEF19
ENSMUSG00000095763,,ENSG00000243073,PRAMEF4
ENSMUSG00000095763,,ENSG00000204505,PRAMEF9
ENSMUSG00000095763,,ENSG00000232423,PRAMEF6
ENSMUSG00000095763,,ENSG00000204501,PRAMEF15
ENSMUSG00000095763,,ENSG00000204478,PRAMEF20
ENSMUSG00000095763,,ENSG00000204481,PRAMEF14
ENSMUSG00000095763,,ENSG00000204510,PRAMEF7
ENSMUSG00000095763,,ENSG00000120952,PRAMEF2
ENSMUSG00000095763,,ENSG00000229571,PRAMEF25
ENSMUSG00000095763,,ENSG00000279169,PRAMEF13
ENSMUSG00000095763,,ENSG00000279804,PRAMEF18
ENSMUSG00000095763,,ENSG00000116721,PRAMEF1
ENSMUSG00000095763,,ENSG00000239810,PRAMEF11
ENSMUSG00000095523,,ENSG00000187545,PRAMEF10
ENSMUSG00000095523,,ENSG00000182330,PRAMEF8
ENSMUSG00000095523,,ENSG00000280267,PRAMEF26
ENSMUSG00000095523,,ENSG00000270601,PRAMEF5
ENSMUSG00000095523,,ENSG00000116726,PRAMEF12
ENSMUSG00000095523,,ENSG00000237700,PRAMEF33
ENSMUSG00000095523,,ENSG00000204479,PRAMEF17
ENSMUSG00000095523,,ENSG00000274764,PRAMEF27
ENSMUSG00000095523,,ENSG00000204480,PRAMEF19
ENSMUSG00000095523,,ENSG00000243073,PRAMEF4
ENSMUSG00000095523,,ENSG00000204505,PRAMEF9
ENSMUSG00000095523,,ENSG00000232423,PRAMEF6
ENSMUSG00000095523,,ENSG00000204501,PRAMEF15
ENSMUSG00000095523,,ENSG00000204478,PRAMEF20
ENSMUSG00000095523,,ENSG00000204481,PRAMEF14
ENSMUSG00000095523,,ENSG00000204510,PRAMEF7
ENSMUSG00000095523,,ENSG00000120952,PRAMEF2
